ms,value
0,674
0,675
0,674
0,675
1,674
1,674
1,674
2,675
2,674
7,675
14,674
24,674
32,674
40,674
48,674
56,674
64,675
73,674
81,674
90,674
98,675
106,674
116,675
125,675
134,674
143,675
154,674
163,674
172,674
181,674
190,675
200,674
209,674
219,675
228,675
238,674
247,674
256,674
265,674
274,674
285,674
294,674
303,674
312,674
321,674
331,674
340,674
349,674
359,674
369,674
378,674
387,674
396,674
405,674
415,674
425,674
434,674
443,675
453,674
462,674
471,674
480,674
490,674
500,674
509,674
518,675
527,674
537,675
546,674
556,674
565,674
574,674
584,674
593,674
602,674
611,675
622,674
631,674
640,674
649,674
658,674
668,674
677,674
687,675
696,674
705,675
715,675
724,674
733,674
742,674
753,674
762,675
771,675
780,675
789,674
799,674
808,674
818,674
827,674
837,674
846,675
855,675
864,674
873,674
884,674
893,674
902,674
911,674
921,674
930,674
939,674
948,674
958,674
968,675
977,674
986,674
995,674
1004,674
1015,674
1026,674
1036,674
1046,674
1057,674
1067,674
1077,674
1088,674
1099,674
1109,674
1119,674
1129,674
1140,674
1151,674
1161,674
1171,674
1182,674
1192,674
1202,674
1212,674
1224,674
1234,674
1244,674
1254,674
1265,674
1275,674
1286,674
1296,674
1307,674
1317,675
1327,674
1337,674
1348,674
1359,674
1369,674
1379,674
1390,674
1400,674
1410,674
1421,674
1432,674
1442,674
1452,674
1462,674
1472,674
1484,674
1494,674
1504,674
1514,674
1525,675
1535,674
1545,674
1556,674
1567,674
1577,674
1587,674
1597,674
1608,674
1619,674
1629,674
1639,674
1650,674
1660,674
1670,674
1680,674
1692,674
1702,674
1712,674
1722,674
1733,674
1743,674
1754,674
1764,674
1775,674
1785,674
1795,674
1805,674
1817,674
1827,674
1837,674
1847,674
1857,674
1868,674
1878,674
1889,674
1899,674
1910,674
1920,674
1930,674
1940,674
1952,674
1962,674
1972,674
1982,674
1993,674
2003,674
2013,674
2024,675
2035,674
2045,674
2055,674
2065,674
2076,674
2087,674
2097,674
2107,674
2118,674
2128,674
2138,674
2149,674
2160,674
2170,674
2180,674
2190,674
2201,674
2211,674
2222,674
2232,674
2243,674
2253,674
2263,674
2273,674
2284,674
2295,674
2305,674
2315,674
2325,674
2336,674
2346,674
2357,674
2367,674
2378,674
2388,674
2398,674
2408,674
2420,674
2430,674
2440,674
2450,674
2461,674
2471,674
2482,674
2492,674
2503,674
2513,674
2523,674
2533,674
2544,674
2555,674
2565,674
2575,674
2586,674
2596,674
2606,674
2617,674
2628,674
2638,674
2648,674
2658,674
2668,674
2679,674
2690,674
2700,674
2710,674
2721,674
2731,674
2741,674
2752,674
2763,674
2773,674
2783,675
2793,674
2804,674
2815,674
2825,674
2835,674
2846,674
2856,674
2866,674
2876,674
2888,674
2898,674
2908,674
2918,674
2929,674
2939,674
2950,674
2960,674
2971,674
2981,674
2991,674
3001,674
3012,674
3023,674
3033,674
3043,674
3054,674
3064,674
3074,674
3085,674
3096,674
3106,674
3116,674
3126,674
3136,674
3148,674
3158,674
3168,674
3178,674
3189,674
3199,674
3209,674
3220,674
3231,674
3241,674
3251,674
3261,674
3272,674
3283,674
3293,674
3303,674
3314,674
3324,674
3334,674
3344,674
3356,674
3366,674
3376,674
3386,674
3397,674
3407,674
3418,674
3428,674
3439,674
3449,674
3459,674
3469,674
3481,674
3491,674
3501,674
3511,674
3521,674
3532,674
3542,674
3553,674
3563,674
3574,674
3584,674
3594,674
3604,674
3616,674
3626,674
3636,674
3646,674
3657,674
3667,674
3677,674
3688,674
3699,674
3709,674
3719,674
3729,674
3740,674
3751,674
3761,674
3771,674
3782,674
3792,674
3802,674
3813,674
3824,674
3834,674
3844,674
3854,674
3865,674
3875,674
3886,674
3896,674
3907,674
3917,674
3927,674
3937,674
3948,674
3959,674
3969,674
3979,674
3989,674
4000,674
4010,674
4021,674
4031,674
4042,674
4052,674
4062,674
4072,674
4084,674
4094,674
4104,674
4114,674
4125,674
4135,674
4146,674
4156,674
4167,674
4177,674
4187,674
4197,674
4208,674
4219,674
4229,674
4239,674
4250,674
4260,674
4270,674
4281,674
4292,674
4302,674
4312,674
4322,674
4332,674
4343,674
4354,674
4364,674
4374,674
4385,674
4395,674
4405,674
4416,674
4427,674
4437,674
4447,674
4457,674
4468,674
4479,674
4489,674
4499,674
4510,674
4520,674
4530,674
4540,674
4552,674
4562,674
4572,674
4582,674
4593,674
4603,674
4614,674
4624,674
4635,674
4645,674
4655,674
4665,674
4676,674
4687,674
4697,674
4707,674
4718,674
4728,674
4738,674
4749,674
4760,674
4770,674
4780,674
4790,674
4800,674
4812,674
4822,674
4832,674
4842,674
4853,674
4863,674
4873,674
4884,674
4895,674
4905,674
4915,674
4925,674
4936,674
4947,674
4957,674
4967,674
4978,674
4988,674
4998,674
5008,674
5020,674
5030,674
5040,674
5050,674
5061,674
5071,674
5082,674
5092,674
5103,674
5113,674
5123,674
5133,674
5145,674
5155,674
5165,674
5175,674
5185,674
5196,674
5206,674
5217,674
5227,674
5238,674
5248,674
5258,674
5268,674
5280,674
5290,674
5300,674
5310,674
5321,674
5331,674
5341,674
5352,674
5363,674
5373,674
5383,674
5393,674
5404,674
5415,674
5425,674
5435,674
5446,674
5456,674
5466,674
5477,674
5488,674
5498,674
5508,674
5518,674
5529,674
5539,674
5550,674
5560,674
5571,674
5581,674
5591,674
5601,674
5612,674
5623,674
5633,674
5643,674
5653,674
5664,674
5674,674
5685,674
5695,674
5706,674
