ms,value
0,497
0,497
0,497
0,497
1,497
1,497
1,497
2,497
2,497
7,497
14,497
24,497
32,497
40,497
48,497
56,497
64,497
73,497
81,497
90,497
98,497
106,497
116,497
125,497
134,497
143,497
154,497
163,497
172,497
181,497
190,497
200,497
209,497
219,497
228,497
238,497
247,497
256,497
265,497
274,497
285,497
294,497
303,497
312,497
321,497
331,497
340,497
349,497
359,497
369,497
378,497
387,497
396,497
405,497
415,497
425,497
434,497
443,497
453,497
462,497
471,497
480,497
490,497
500,497
509,497
518,497
527,497
537,497
546,497
556,497
565,497
574,497
584,497
593,497
602,497
611,497
622,497
631,497
640,497
649,497
658,497
668,497
677,497
687,497
696,497
705,497
715,497
724,497
733,497
742,497
753,497
762,497
771,497
780,497
789,497
799,497
808,497
818,497
827,497
837,497
846,497
855,497
864,497
873,497
884,497
893,497
902,497
911,497
921,497
930,497
939,497
948,497
958,497
968,497
977,497
986,497
995,497
1004,497
1015,497
1026,497
1036,497
1046,497
1057,497
1067,497
1077,497
1088,497
1099,497
1109,497
1119,497
1129,497
1140,497
1151,497
1161,497
1171,497
1182,497
1192,497
1202,497
1212,497
1224,497
1234,497
1244,497
1254,497
1265,497
1275,497
1286,497
1296,497
1307,497
1317,497
1327,497
1337,497
1348,497
1359,497
1369,497
1379,497
1390,497
1400,497
1410,497
1421,497
1432,497
1442,497
1452,497
1462,497
1472,497
1484,497
1494,497
1504,497
1514,497
1525,497
1535,497
1545,497
1556,497
1567,497
1577,497
1587,497
1597,497
1608,497
1619,497
1629,497
1639,497
1650,497
1660,497
1670,497
1680,497
1692,497
1702,497
1712,497
1722,497
1733,497
1743,497
1754,497
1764,497
1775,497
1785,497
1795,497
1805,497
1817,497
1827,497
1837,497
1847,497
1857,497
1868,497
1878,497
1889,497
1899,497
1910,497
1920,497
1930,497
1940,497
1952,497
1962,497
1972,497
1982,497
1993,497
2003,497
2013,497
2024,497
2035,497
2045,497
2055,497
2065,497
2076,497
2087,497
2097,497
2107,497
2118,497
2128,497
2138,497
2149,497
2160,497
2170,497
2180,497
2190,497
2201,497
2211,497
2222,497
2232,497
2243,497
2253,497
2263,497
2273,497
2284,497
2295,497
2305,497
2315,497
2325,497
2336,497
2346,497
2357,497
2367,497
2378,497
2388,497
2398,497
2408,497
2420,497
2430,497
2440,497
2450,497
2461,497
2471,497
2482,497
2492,497
2503,497
2513,497
2523,497
2533,497
2544,497
2555,497
2565,497
2575,497
2586,497
2596,497
2606,497
2617,497
2628,497
2638,497
2648,497
2658,497
2668,497
2679,497
2690,497
2700,497
2710,497
2721,497
2731,497
2741,497
2752,497
2763,497
2773,497
2783,497
2793,497
2804,497
2815,497
2825,497
2835,497
2846,497
2856,497
2866,497
2876,497
2888,497
2898,497
2908,497
2918,497
2929,497
2939,497
2950,497
2960,497
2971,497
2981,497
2991,497
3001,497
3012,497
3023,497
3033,497
3043,497
3054,497
3064,497
3074,497
3085,497
3096,497
3106,497
3116,497
3126,497
3136,497
3148,497
3158,497
3168,497
3178,497
3189,497
3199,497
3209,497
3220,497
3231,497
3241,497
3251,497
3261,497
3272,497
3283,497
3293,497
3303,497
3314,497
3324,497
3334,497
3344,497
3356,497
3366,497
3376,497
3386,497
3397,497
3407,497
3418,497
3428,497
3439,497
3449,497
3459,497
3469,497
3481,497
3491,497
3501,497
3511,497
3521,497
3532,497
3542,497
3553,497
3563,497
3574,497
3584,497
3594,497
3604,497
3616,497
3626,497
3636,497
3646,497
3657,497
3667,497
3677,497
3688,497
3699,497
3709,497
3719,497
3729,497
3740,497
3751,497
3761,497
3771,497
3782,497
3792,497
3802,497
3813,497
3824,497
3834,497
3844,497
3854,497
3865,497
3875,497
3886,497
3896,497
3907,497
3917,497
3927,497
3937,497
3948,497
3959,497
3969,497
3979,497
3989,497
4000,497
4010,497
4021,497
4031,497
4042,497
4052,497
4062,497
4072,497
4084,497
4094,497
4104,497
4114,497
4125,497
4135,497
4146,497
4156,497
4167,497
4177,497
4187,497
4197,497
4208,497
4219,497
4229,497
4239,497
4250,497
4260,497
4270,497
4281,497
4292,497
4302,497
4312,497
4322,497
4332,497
4343,497
4354,497
4364,497
4374,497
4385,497
4395,497
4405,497
4416,497
4427,497
4437,497
4447,497
4457,497
4468,497
4479,497
4489,497
4499,497
4510,497
4520,497
4530,497
4540,497
4552,497
4562,497
4572,497
4582,497
4593,497
4603,497
4614,497
4624,497
4635,497
4645,497
4655,497
4665,497
4676,497
4687,497
4697,497
4707,497
4718,497
4728,497
4738,497
4749,497
4760,497
4770,497
4780,497
4790,497
4800,497
4812,497
4822,497
4832,497
4842,497
4853,497
4863,497
4873,497
4884,497
4895,497
4905,497
4915,497
4925,497
4936,497
4947,497
4957,497
4967,497
4978,497
4988,497
4998,497
5008,497
5020,497
5030,497
5040,497
5050,497
5061,497
5071,497
5082,497
5092,497
5103,497
5113,497
5123,497
5133,497
5145,497
5155,497
5165,497
5175,497
5185,497
5196,497
5206,497
5217,497
5227,497
5238,497
5248,497
5258,497
5268,497
5280,497
5290,497
5300,497
5310,497
5321,497
5331,497
